id	population	generation	mid	fid	gv1	pv1	gv2	pv2	gv	pv	generationPlotShift
1001	A	10	947	949	7.21058484643351	5.05844648509464	-4.22372757931072	-4.57748206136022	-0.00383071566001623	-0.152467244295712	9.75
1002	A	10	944	949	6.44334287803262	7.17898551228245	-3.34249030665958	-4.45199716130687	0.00104728950520451	-0.0200731786458539	9.75
1003	A	10	944	950	6.58151303019508	6.25029800284296	-3.7622540722768	-4.65837885351022	-0.015446116068547	-0.0865792371750185	9.75
1004	A	10	911	929	6.41953628365287	5.80573757447442	-3.31456383983957	-4.39285192131577	0.00123350303177885	-0.0979067142506265	9.75
1005	A	10	938	934	6.34321829751774	5.04049314582996	-4.5471069846827	-4.38248616641845	-0.0772458459737776	-0.142551399134395	9.75
1006	A	10	940	947	6.3073673347176	6.17224838821768	-3.02233980569767	-0.95979806394076	0.0117193855230208	0.117012703249584	9.75
1007	A	10	940	944	6.74720686791868	10.1063557069438	-2.97511185407876	-1.12872956878339	0.0419644904740657	0.34002037423541	9.75
1008	A	10	940	911	5.67282619799001	6.2772733745442	-2.28454133079459	-2.17144670474062	0.0162907243188696	0.0550124256275117	9.75
1009	A	10	940	949	6.43033639541865	6.42344592590449	-4.47262627821822	-4.05382012611609	-0.0673598862598278	-0.042313145427113	9.75
1010	A	10	940	938	7.28746091566734	6.8507251090779	-3.86905006886182	-4.12338598939431	0.0221760296635228	-0.0209757677254414	9.75
1011	A	10	940	934	5.730695272341	5.83125398301828	-3.63414338314855	-0.870738204740321	-0.0608247883387943	0.101872389986775	9.75
1012	A	10	940	929	5.18720941151021	4.82595264224454	-2.84377436632805	-1.6287642876626	-0.0474325431786955	-0.000215593611647948	9.75
1013	A	10	940	943	6.0926830290889	6.13360683150657	-2.93564175335486	-1.36792268088665	0.00352126519110448	0.0917542373678257	9.75
1014	A	10	940	950	5.9877810113826	7.48695217456868	-3.30496623224147	-2.03128950171161	-0.0251087340669377	0.134397911870821	9.75
1015	A	10	947	944	6.56066642405215	7.61940811185329	-2.09069256631682	-1.96505004912062	0.0832346555850482	0.14595527898887	9.75
1016	A	10	947	911	5.90452316460898	6.15428174746201	-3.20820354711947	-2.8506731981879	-0.0245115332110384	0.00950743255248797	9.75
1017	A	10	947	949	6.19680426094123	5.48080348631136	-5.00860008225434	-6.16351335966242	-0.113976610508414	-0.216787455707135	9.75
1018	A	10	947	938	6.67604553806927	4.31805564948874	-4.13433404951899	-4.97611716937377	-0.0318078705021265	-0.218666970824532	9.75
1019	A	10	947	934	6.14585408376181	6.17082242698723	-3.59221848053819	-2.62659255416829	-0.0324355069021127	0.0230992493636611	9.75
1020	A	10	947	929	5.24162008561076	4.73939444397699	-2.2992552321863	-1.09704330056073	-0.0114714110141714	0.024600830593907	9.75
1021	A	10	947	943	6.07354795549094	8.8742264997004	-2.16562972864364	-1.069396859398	0.048384749360667	0.270537925722786	9.75
1022	A	10	947	950	5.9862324709185	4.5262484517418	-4.00974775226353	-3.76422714929836	-0.0673600630683709	-0.138141008640454	9.75
1023	A	10	944	911	5.92747807064062	4.75151582707685	-2.79798879649138	-2.63129173854303	0.00145550780049838	-0.0610504954037814	9.75
1024	A	10	944	949	6.37132114758397	5.68138548089476	-3.30637121883355	-3.51888519934589	-0.00128228180024077	-0.0560579174537859	9.75
1025	A	10	944	938	6.87111182669006	6.74466134322122	-3.38888462482601	-1.52061179455815	0.0249401073469278	0.119274007110142	9.75
1026	A	10	944	934	6.96785218680712	6.55668508666891	-2.7145362807188	-0.804671536154898	0.0713055559981419	0.148466614528327	9.75
1027	A	10	944	929	7.17905304576219	6.0466758166286	-2.25642904690668	-2.87418679572505	0.111872714522991	0.00182394880792676	9.75
1028	A	10	944	943	6.31253250763222	6.19248717591576	-0.762389280890956	-0.28745973732787	0.147214828428804	0.156056943114604	9.75
1029	A	10	944	950	6.34324222758365	6.85665957692934	-2.81035240456599	-2.77433109006624	0.0266353923355418	0.0553175777384081	9.75
1030	A	10	911	949	6.00429171867765	8.49975299011831	-3.71638272553997	-2.04298807977716	-0.0486873067252126	0.193598881639391	9.75
1031	A	10	911	938	6.04824596499909	4.16674675027189	-3.70865874686587	-2.5823890657494	-0.0454851397262205	-0.0928591879093485	9.75
1032	A	10	911	934	5.96993719745273	5.96462710822811	-3.37151053428673	-2.57864918133483	-0.0302013305583261	0.013611382215876	9.75
1033	A	10	911	929	5.17350599150023	7.05680879617584	-3.07748048533892	-2.90994950492711	-0.062265398146629	0.0595125949331536	9.75
1034	A	10	911	943	6.36913869207229	7.4284188167999	-3.01690767684448	-1.8436855839187	0.0158952174951967	0.141499240106513	9.75
1035	A	10	911	950	5.80707410843043	6.81287551851273	-3.23165842111319	-2.84489199872908	-0.0319895549895417	0.0487577120604646	9.75
1036	A	10	949	938	7.02599133259685	8.88084701868106	-4.87649764760346	-1.37987406391114	-0.0543824144114581	0.25345146635124	9.75
1037	A	10	949	934	6.0377454539595	6.23100076689588	-4.1304037840179	-3.22227284905951	-0.0713654104135136	-0.00687677572611167	9.75
1038	A	10	949	929	6.4084079648876	5.30827811271917	-3.73048867804989	-3.4792903771585	-0.0243377851363732	-0.075880746311609	9.75
1039	A	10	949	943	6.39053174069795	7.96269573842451	-3.48115821040402	-5.63254760543501	-0.0105391218925068	-0.0402105371253819	9.75
1040	A	10	949	950	5.60158078323414	5.18261361429221	-4.53593448507521	-5.16806979368644	-0.122812425271031	-0.178374666333906	9.75
1041	A	10	938	934	6.01345973193847	7.41496183626333	-4.24406350894871	-0.199463725165302	-0.0796776997670258	0.233262382785565	9.75
1042	A	10	938	929	6.30818834673252	6.14613197055526	-4.40957772175772	-2.77547585318722	-0.0712036895442202	0.013258854931597	9.75
1043	A	10	938	943	7.66424482133245	6.33839186086051	-4.02414414662465	-6.66301889073601	0.0363887492408814	-0.194220208146413	9.75
1044	A	10	938	950	6.87897337833352	7.58992139499143	-3.2635699569757	-3.81873456172039	0.0329256004283458	0.0398627164145754	9.75
1045	A	10	934	929	5.08826298641629	1.54349353908769	-3.09376749711122	-3.07465094390507	-0.06855374750538	-0.275612192187018	9.75
1046	A	10	934	943	6.29428572304535	7.94351957353664	-3.10590968792862	-4.95899162499002	0.00590532849685305	-0.00342729177438087	9.75
1047	A	10	934	950	5.23865097260044	4.98885358660874	-2.87424423974075	-4.11290105677627	-0.0460480776078514	-0.13042764440632	9.75
1048	A	10	929	943	4.09230566796782	3.50298400139656	-1.89542313859067	-1.32021098773355	-0.0589672244568045	-0.0610374994683437	9.75
1049	A	10	929	950	5.49811370141096	6.86371028680841	-2.22003345466652	-3.66208160375831	0.00925725731946499	0.00575998907870281	9.75
1050	A	10	943	950	5.71365498094861	6.34239292943359	-1.98642585216692	-1.92576637720405	0.0366671055846152	0.0726913125170942	9.75
1051	B	10	954	971	-1.89456152465309	-0.330312460154969	5.34859192405546	3.77854263458872	0.00108529393855842	-0.000571548415921429	10.25
1052	B	10	954	979	-1.56159918905335	-1.80476738733102	5.59548896855284	8.02920185624101	0.0366102289282534	0.151566967935119	10.25
1053	B	10	971	981	-2.9295594823136	-2.78389521924117	6.68798043155638	6.29629250842974	0.0166741752186661	-0.0038533707461292	10.25
1054	B	10	981	960	-2.9971136184532	-1.26558168721312	5.85842750966306	5.78833166197511	-0.0371549427942215	0.0572887087522353	10.25
1055	B	10	990	979	-1.50577517806079	-0.128285634741956	4.97308450606305	3.49457649697805	0.00286277706303018	-0.00461652537585139	10.25
1056	B	10	994	969	-2.94152804542319	-1.73840815182879	5.23119045067162	6.80971552963218	-0.0712063092456632	0.0868402219007265	10.25
1057	B	10	994	985	-2.34770324453791	-1.5823735446849	5.54281733839446	4.40784854612552	-0.0155471448202677	-0.0391464212103834	10.25
1058	B	10	994	954	-2.43628325438919	-1.51733653715153	4.68752349395193	5.89925921789489	-0.0722266790818931	0.0486537191792877	10.25
1059	B	10	994	971	-2.67245762952684	-1.84111767942924	4.22120094307002	4.52709828804744	-0.114842104602299	-0.0477260157817329	10.25
1060	B	10	994	981	-2.05322613727974	-1.65280399698336	5.28092010148433	4.69418985039756	-0.0128537298764447	-0.0271900041594913	10.25
1061	B	10	994	990	-2.2074955488083	-3.14720354734909	4.3817486726441	2.31395141413816	-0.0762528743964803	-0.249504641502793	10.25
1062	B	10	994	982	-2.32613836585863	-4.06621710017939	5.31214276742539	3.96865789860135	-0.0279999945756164	-0.210672354263486	10.25
1063	B	10	994	979	-1.77711303753927	-1.15808485994079	5.22110451034343	6.13942999543693	0.000781865903820439	0.0834065332340129	10.25
1064	B	10	994	960	-3.14158319912097	-3.35597660801316	4.85459981701515	5.35280605067768	-0.106202910226584	-0.0907769311669332	10.25
1065	B	10	969	985	-1.48537595223878	0.401692622439505	6.15468173609325	8.23957824594359	0.0748088578031045	0.293818030041608	10.25
1066	B	10	969	954	-1.70917931142043	-1.92563439362688	5.77375481421539	4.9265316196287	0.0380723922654503	-0.0302358276810647	10.25
1067	B	10	969	971	-1.65606922765173	-1.0331274085937	5.04207448394507	5.0941148577162	-0.00238032000128337	0.0319477663118254	10.25
1068	B	10	969	981	-2.24995642197786	-3.06499770773773	6.65368224326785	6.24726385821471	0.0569902234933392	-0.0232273372126016	10.25
1069	B	10	969	990	-1.86663885371291	0.355686013024731	4.76040330938059	5.14296111506643	-0.0323550331981199	0.116780453637647	10.25
1070	B	10	969	982	-1.43039387795983	-0.454549074993717	5.39925937953882	4.08513107625453	0.0330527768399875	0.00934454139393713	10.25
1071	B	10	969	979	-1.81521788150314	-1.34242632772758	5.8518340027737	4.98547837245935	0.036131899573189	0.00755179244616128	10.25
1072	B	10	969	960	-1.99496705900044	-2.84772423772296	5.55272078361505	5.55017875581115	0.00703532760670491	-0.0496269759320855	10.25
1073	B	10	985	954	-1.85290077806348	-2.33614409171992	4.88497075923056	2.08747927836464	-0.0240478815032772	-0.214317470282978	10.25
1074	B	10	985	971	-1.80063481874565	-0.0460747291809191	4.41824122550608	4.9074226993644	-0.0487058310202673	0.0797759986848802	10.25
1075	B	10	985	981	-2.54838513725145	-3.45968360733533	6.15266671428917	5.7059573059775	0.00841868965190179	-0.0770263112201241	10.25
1076	B	10	985	990	-1.35012779885032	-0.589803660172898	4.66757962574995	4.92696635907671	-0.00570695399548162	0.0487401875909898	10.25
1077	B	10	985	982	-1.22951674487497	1.21001005404709	5.23271418236725	6.1493886687503	0.0356142740268698	0.223928543491175	10.25
1078	B	10	985	979	-1.41586150393248	-3.41725534489394	5.50299971947071	4.4878325258803	0.0401637234612135	-0.143090802661153	10.25
1079	B	10	985	960	-0.912154758803497	0.233899292151278	4.49222328890801	5.08677471886443	0.0111084536169578	0.106419587318342	10.25
1080	B	10	954	971	-1.98160413138949	-2.67643974988693	4.47420442444924	6.47330672868865	-0.0566404367171533	0.0124622596722823	10.25
1081	B	10	954	981	-2.82001781964113	-3.0523434633323	6.0306770224584	4.40833904985077	-0.015811830280325	-0.12599837368791	10.25
1082	B	10	954	990	-2.35703143863672	-3.48020163387491	5.21513286257896	6.84254159544859	-0.0357283279947375	-0.0142570342714083	10.25
1083	B	10	954	982	-1.8281458207457	-1.71925279026625	5.04776899591179	3.26583751470569	-0.0127672388567465	-0.111523830498342	10.25
1084	B	10	954	979	-1.44272003358127	-0.687964246395156	4.99133820634881	4.55131923542059	0.00788553339622378	0.0217922328764277	10.25
1085	B	10	954	960	-2.15071297347617	-3.1730709792394	4.43787446579569	3.54203163274778	-0.0693559327497316	-0.181900932684937	10.25
